movie_name,movie_name_original,movie_genres,movie_release,movie_cover_link_HQ,movie_cover_link_LQ,movie_presentationmovie_stars
Andor,Andor,"Action, Adventure, Drama",2022– ,https://m.media-amazon.com/images/M/MV5BYzFjN2JlMWMtMmU0ZC00ZjQ3LWJlZmYtMDg3YWFkN2MxYWZkXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BYzFjN2JlMWMtMmU0ZC00ZjQ3LWJlZmYtMDg3YWFkN2MxYWZkXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_FMjpg_UY473_.jpg,"Prequel series to Star Wars' 'Rogue One'. In an era filled with danger, deception and intrigue, Cassian will embark on the path that is destined to turn him into a Rebel hero.","Diego Luna, Stellan Skarsgård, Genevieve O'Reilly, Kyle Soller"
House of the Dragon,House of the Dragon,"Action, Adventure, Drama",2022– ,https://m.media-amazon.com/images/M/MV5BZjBiOGIyY2YtOTA3OC00YzY1LThkYjktMGRkYTNhNTExY2I2XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg,https://m.media-amazon.com/images/M/MV5BZjBiOGIyY2YtOTA3OC00YzY1LThkYjktMGRkYTNhNTExY2I2XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_FMjpg_UY473_.jpg,"An internal succession war within House Targaryen at the height of its power, 172 years before the birth of Daenerys Targaryen.","Rhys Ifans, Matt Smith, Fabien Frankel, Graham McTavish"
Game of Thrones: Das Lied von Eis und Feuer,Game of Thrones,"Action, Adventure, Drama",2011–2019,https://m.media-amazon.com/images/M/MV5BZmVmNDU5NzEtYjgxYS00ODVkLTk5NjktZmY4ZjAxNGQ5YThhXkEyXkFqcGdeQXVyMTM4NTI3OTI@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BZmVmNDU5NzEtYjgxYS00ODVkLTk5NjktZmY4ZjAxNGQ5YThhXkEyXkFqcGdeQXVyMTM4NTI3OTI@._V1_FMjpg_UY452_.jpg,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.","Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey"
Der Herr der Ringe: Die Ringe der Macht,The Lord of the Rings: The Rings of Pow,"Action, Adventure, Drama",2022– ,https://m.media-amazon.com/images/M/MV5BODZkMmFkNjMtMmY3ZC00N2JkLWJkYzAtYjQyYTJmZmNmM2ZjXkEyXkFqcGdeQXVyMTE4NjM1MTg5._V1_.jpg,https://m.media-amazon.com/images/M/MV5BODZkMmFkNjMtMmY3ZC00N2JkLWJkYzAtYjQyYTJmZmNmM2ZjXkEyXkFqcGdeQXVyMTE4NjM1MTg5._V1_FMjpg_UY474_.jpg,"Epic drama set thousands of years before the events of J.R.R. Tolkien's 'The Hobbit' and 'The Lord of the Rings' follows an ensemble cast of characters, both familiar and new, as they confront the long-feared re-emergence of evil to Middle-earth.","Morfydd Clark, Ismael Cruz Cordova, Charlie Vickers, Markella Kavenagh"
Titans,Titans,"Action, Adventure, Crime",2018– ,https://m.media-amazon.com/images/M/MV5BOGIxMzE1MTEtMzViYi00MWI5LTllOTUtMmZkYzM3NmIyNTZlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BOGIxMzE1MTEtMzViYi00MWI5LTllOTUtMmZkYzM3NmIyNTZlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_FMjpg_UY480_.jpg,A team of young superheroes combat evil and other perils.,"Brenton Thwaites, Anna Diop, Ryan Potter, Teagan Croft"
Warrior Nun,Warrior Nun,"Action, Drama, Fantasy",2020– ,https://m.media-amazon.com/images/M/MV5BNjI1NTkxZmYtMjk5Yi00YzEzLTkzYjAtODI4NGY3YzU1M2UzXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BNjI1NTkxZmYtMjk5Yi00YzEzLTkzYjAtODI4NGY3YzU1M2UzXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_FMjpg_UY427_.jpg,"After waking up in a morgue, an orphaned teen discovers she now possesses superpowers as the chosen Halo Bearer for a secret sect of demon-hunting nuns.","Alba Baptista, Kristina Tonteri-Young, Lorena Andrea, Tristán Ulloa"
Half Bad,The Bastard Son & The Devil Himself,"Action, Adventure, Drama",2022– ,https://m.media-amazon.com/images/M/MV5BYTgyM2UzNTAtODNkZS00MTlkLWJiYjQtZmJlMzQxOTU0ZGY0XkEyXkFqcGdeQXVyODAzMTg2NzU@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BYTgyM2UzNTAtODNkZS00MTlkLWJiYjQtZmJlMzQxOTU0ZGY0XkEyXkFqcGdeQXVyODAzMTg2NzU@._V1_FMjpg_UY480_.jpg,"Caught between two warring clans, the son of a notorious witch responsible for a deadly massacre tries to find his place in the world — and his powers.","Jay Lycurgo, Nadia Parkes, Paul Ready, Isobel Jesper Jones"
The Boys,The Boys,"Action, Comedy, Crime",2019– ,https://m.media-amazon.com/images/M/MV5BOTEyNDJhMDAtY2U5ZS00OTMzLTkwODktMjU3MjFkZWVlMGYyXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BOTEyNDJhMDAtY2U5ZS00OTMzLTkwODktMjU3MjFkZWVlMGYyXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_FMjpg_UY400_.jpg,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,"Karl Urban, Jack Quaid, Antony Starr, Erin Moriarty"
Chainsaw Man,Chainsaw Man,"Animation, Action, Adventure",2022– ,https://m.media-amazon.com/images/M/MV5BNjY1OTcxZjItNjY1OS00NDEzLWJjM2QtM2RmOTE4OTg0ZWUwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BNjY1OTcxZjItNjY1OS00NDEzLWJjM2QtM2RmOTE4OTg0ZWUwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_FMjpg_UY480_.jpg,"Following a betrayal, a young man left for the dead is reborn as a powerful devil-human hybrid after merging with his pet devil and is soon enlisted into an organization dedicated to hunting devils.","Kikunosuke Toya, Tomori Kusunoki, Ryan Colt Levy, Suzie Yeung"
The Rookie,The Rookie,"Action, Crime, Drama",2018– ,https://m.media-amazon.com/images/M/MV5BOTY5OWFmMzAtZTIxYi00NGM4LTk3YWMtY2MyYzMwOWVhZWM0XkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BOTY5OWFmMzAtZTIxYi00NGM4LTk3YWMtY2MyYzMwOWVhZWM0XkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_FMjpg_UY400_.jpg,"Starting over isn't easy, especially for John Nolan who, after a life-altering incident, is pursuing his dream of joining the LAPD. As their oldest rookie, he's met with skepticism from those who see him as just a walking midlife crisis.","Nathan Fillion, Alyssa Diaz, Richard T. Jones, Melissa O'Neil"
The Witcher,The Witcher,"Action, Adventure, Drama",2019– ,https://m.media-amazon.com/images/M/MV5BN2FiOWU4YzYtMzZiOS00MzcyLTlkOGEtOTgwZmEwMzAxMzA3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BN2FiOWU4YzYtMzZiOS00MzcyLTlkOGEtOTgwZmEwMzAxMzA3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_FMjpg_UY474_.jpg,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.","Henry Cavill, Freya Allan, Anya Chalotra, Mimi Ndiweni"
Shantaram,Shantaram,"Action, Adventure, Crime",2022– ,https://m.media-amazon.com/images/M/MV5BMjU0ZmU1NTItNmRjNS00MjRkLWE0MDctYWMyNDY0YTA3ZDc4XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMjU0ZmU1NTItNmRjNS00MjRkLWE0MDctYWMyNDY0YTA3ZDc4XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_FMjpg_UY474_.jpg,"Lindsay, Australian character, sentenced to a long, harsh prison term after life spirals out of control, he escapes and makes his way to Bombay. Befriended by a Prabaker, by a twist of fate Lin ends up living in Prabaker's slum.","Charlie Hunnam, Fayssal Bazzi, Sujaya Dasgupta, Antonia Desplat"
The Old Man,The Old Man,"Action, Drama, Thriller",2022– ,https://m.media-amazon.com/images/M/MV5BMTZkMzUzYjAtMjU2NC00YzFkLTkyNzYtNDdjMTNlNzNlOGNiXkEyXkFqcGdeQXVyNDQxOTAyNA@@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMTZkMzUzYjAtMjU2NC00YzFkLTkyNzYtNDdjMTNlNzNlOGNiXkEyXkFqcGdeQXVyNDQxOTAyNA@@._V1_FMjpg_UY400_.jpg,"A retired CIA agent is hunted by both the agency he once worked for and his own nightmares, when an unknown man suddenly visits him after nearly three decades.","Jeff Bridges, John Lithgow, E.J. Bonilla, Bill Heck"
Navy CIS,NCIS: Naval Criminal Investigative Servic,"Action, Crime, Drama",2003– ,https://m.media-amazon.com/images/M/MV5BYjVlMjZhYzYtOGQxNC00OTQxLTk2NzEtMWFmMmNhODA4YjYzXkEyXkFqcGdeQXVyNjQ3MDgwNjY@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BYjVlMjZhYzYtOGQxNC00OTQxLTk2NzEtMWFmMmNhODA4YjYzXkEyXkFqcGdeQXVyNjQ3MDgwNjY@._V1_FMjpg_UY480_.jpg,"The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team.","David McCallum, Mark Harmon, Sean Murray, Pauley Perrette"
Gangs of London,Gangs of London,"Action, Crime, Drama",2020– ,https://m.media-amazon.com/images/M/MV5BOGJlZTE0MTQtZDdmMS00YWViLThlMDktYzk1N2RhMjY0NGEyXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BOGJlZTE0MTQtZDdmMS00YWViLThlMDktYzk1N2RhMjY0NGEyXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_FMjpg_UY479_.jpg,Tells the story of London being torn apart by the turbulent power struggles of its international gangs and the sudden power vacuum that's created when the head of London's most powerful crime family is assassinated.,"Michelle Fairley, Sope Dirisu, Brian Vernel, Pippa Bennett-Warner"
